Site,Date,Plot,Species,Percent_Cover,Collected_specimen,Herbarium specimen,Notes
McLaughlin Natural Reserve,2022-05-16,9,Bromus hordeaceus,1,,,
McLaughlin Natural Reserve,2022-03-23,10,Acmispon wrangelianus,2,,,
McLaughlin Natural Reserve,2022-03-23,10,Bare ground,1,,,
McLaughlin Natural Reserve,2022-03-23,10,Castilleja attenuata,2,,,
McLaughlin Natural Reserve,2022-03-23,10,Clarkia purpurea,2,,,
McLaughlin Natural Reserve,2022-03-23,10,Erodium botrys,15,,,
McLaughlin Natural Reserve,2022-03-23,10,Grass,15,,,
McLaughlin Natural Reserve,2022-03-23,10,Holocarpha virgata,3,,,
McLaughlin Natural Reserve,2022-03-23,10,Litter,2,,,
McLaughlin Natural Reserve,2022-03-23,10,Lupinus bicolor,65,,,
McLaughlin Natural Reserve,2022-03-23,10,Micropus californicus,10,,,
